time_ns,transaction,phase,location,vc,detail
0,analytics:mmio,BEGIN_REQ,tile0,,MMIO_PROGRAM
0,navigation:mmio,BEGIN_REQ,tile0,,MMIO_PROGRAM
0,nlp:mmio,BEGIN_REQ,tile0,,MMIO_PROGRAM
0,secure:mmio,BEGIN_REQ,tile0,,MMIO_PROGRAM
0,vision:mmio,BEGIN_REQ,tile0,,MMIO_PROGRAM
1.0,analytics:mmio,REQ_ROUTER,tile0->tile6,0,plane=0; flits=1
1.0,navigation:mmio,REQ_ROUTER,tile0->tile1,0,plane=0; flits=1
1.0,nlp:mmio,REQ_ROUTER,tile0->tile1,2,plane=0; flits=1
1.0,secure:mmio,REQ_ROUTER,tile0->tile1,0,plane=1; flits=1
1.0,vision:mmio,REQ_ROUTER,tile0->tile1,2,plane=1; flits=1
2.5,vision:mmio,END_REQ,tile1,,MMIO_PROGRAM
5.0,analytics:mmio,REQ_ROUTER,tile6->tile12,0,plane=0; flits=1
5.0,navigation:mmio,REQ_ROUTER,tile1->tile2,0,plane=0; flits=1
5.0,nlp:mmio,REQ_ROUTER,tile1->tile2,2,plane=0; flits=1
5.0,secure:mmio,REQ_ROUTER,tile1->tile2,0,plane=1; flits=1
6.5,analytics:mmio,END_REQ,tile12,,MMIO_PROGRAM
6.5,vision:mmio,BEGIN_RESP,tile1,,MMIO_PROGRAM
9.0,navigation:mmio,REQ_ROUTER,tile2->tile3,0,plane=0; flits=1
9.0,nlp:mmio,REQ_ROUTER,tile2->tile8,0,plane=0; flits=1
9.0,secure:mmio,REQ_ROUTER,tile2->tile8,2,plane=0; flits=1
9.0,vision:mmio,RESP_ROUTER,tile1->tile0,0,plane=0; flits=1
10.5,analytics:mmio,BEGIN_RESP,tile12,,MMIO_PROGRAM
10.5,secure:mmio,END_REQ,tile8,,MMIO_PROGRAM
10.5,vision:iommu_read,BEGIN_REQ,tile1,,IOMMU_TRANSLATE
10.5,vision:mmio,END_RESP,tile0,,MMIO_PROGRAM
13.0,analytics:mmio,RESP_ROUTER,tile12->tile6,0,plane=0; flits=1
13.0,navigation:mmio,REQ_ROUTER,tile3->tile9,0,plane=0; flits=1
13.0,nlp:mmio,REQ_ROUTER,tile8->tile14,0,plane=0; flits=1
